X_class,X_description,X_posterior,Y_class,Y_description,Y_posterior,block_id,confidence,dimension,item_id,participant_id,rating
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.999995846047052,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9990878053209935,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P002,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999990471320556,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Frustration,frustration,P002,18.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999949701298134,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999398488956862,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P003,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999971900985851,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999398488956862,combined_high_repeat_1,4.0,Physical Demand,physicaldemand,P003,18.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999982551411789,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999398488956862,combined_high_repeat_1,5.0,Temporal Demand,temporal,P003,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999978970591142,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999398488956862,combined_high_repeat_1,4.0,Performance,performance,P003,14.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999942327433744,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999398488956862,combined_high_repeat_1,5.0,Effort,effort,P003,19.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.999998927415867,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999398488956862,combined_high_repeat_1,3.0,Frustration,frustration,P003,15.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999962356239548,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.996397519499106,combined_high_repeat_2,4.0,Mental Demand,mentaldemand,P003,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999933488368534,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.996397519499106,combined_high_repeat_2,4.0,Physical Demand,physicaldemand,P003,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999962356239548,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.996397519499106,combined_high_repeat_2,3.0,Temporal Demand,temporal,P003,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999950069414039,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.996397519499106,combined_high_repeat_2,3.0,Performance,performance,P003,6.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999962356239548,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.996397519499106,combined_high_repeat_2,5.0,Effort,effort,P003,15.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999942416900418,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.996397519499106,combined_high_repeat_2,5.0,Frustration,frustration,P003,9.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999797765759839,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9976544914420128,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P004,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999915205074202,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9976544914420128,combined_high_repeat_1,4.0,Physical Demand,physicaldemand,P004,17.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999902209197962,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9976544914420128,combined_high_repeat_1,5.0,Temporal Demand,temporal,P004,19.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999717351555102,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9976544914420128,combined_high_repeat_1,5.0,Performance,performance,P004,19.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999988164133425,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9976544914420128,combined_high_repeat_1,5.0,Effort,effort,P004,21.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999990252483707,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9976544914420128,combined_high_repeat_1,4.0,Frustration,frustration,P004,18.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.999998863124887,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.999674014973199,combined_high_repeat_2,4.0,Mental Demand,mentaldemand,P004,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999988164133425,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.999674014973199,combined_high_repeat_2,4.0,Physical Demand,physicaldemand,P004,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999705738518355,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.999674014973199,combined_high_repeat_2,4.0,Temporal Demand,temporal,P004,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999717351555102,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.999674014973199,combined_high_repeat_2,3.0,Performance,performance,P004,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999990252483707,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.999674014973199,combined_high_repeat_2,4.0,Effort,effort,P004,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999983407028452,Y2,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.999674014973199,combined_high_repeat_2,4.0,Frustration,frustration,P004,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999988164133425,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P515,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999939957814059,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Physical Demand,physicaldemand,P515,1.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999993451375028,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,1.0,Temporal Demand,temporal,P515,1.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999914768614274,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Performance,performance,P515,17.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.999994428169094,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Effort,effort,P515,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999991947758877,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Frustration,frustration,P515,3.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999936212415663,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Mental Demand,mentaldemand,P515,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999991947758877,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,3.0,Physical Demand,physicaldemand,P515,11.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999988164133425,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Temporal Demand,temporal,P515,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999984240344083,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Performance,performance,P515,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999910261908849,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Effort,effort,P515,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999993451375028,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Frustration,frustration,P515,1.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.999987535135827,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,4.0,Mental Demand,mentaldemand,P516,20.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999957123201421,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Physical Demand,physicaldemand,P516,6.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999994088349358,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Temporal Demand,temporal,P516,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999942416900418,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Performance,performance,P516,6.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999944689470547,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,5.0,Effort,effort,P516,9.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999993451375028,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_1,2.0,Frustration,frustration,P516,1.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=typical; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999942327433744,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Mental Demand,mentaldemand,P516,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999936212415663,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Physical Demand,physicaldemand,P516,12.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999936212415663,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Temporal Demand,temporal,P516,16.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999936212415663,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,5.0,Performance,performance,P516,19.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999944689470547,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Effort,effort,P516,21.0
X2,answer_speed_state=typical; answer_path_state=typical; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999737245245546,Y1,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9999996312899135,combined_high_repeat_2,4.0,Frustration,frustration,P516,1.0
