X_class,X_description,X_posterior,Y_class,Y_description,Y_posterior,block_id,confidence,dimension,item_id,participant_id,rating
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999975323809539,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.9986969596097376,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P002,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999942598010805,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999943693065625,combined_high_repeat_1,4.0,Physical Demand,physicaldemand,P003,18.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.999998829715719,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999943693065625,combined_high_repeat_1,5.0,Temporal Demand,temporal,P003,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999972854296221,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999943693065625,combined_high_repeat_1,4.0,Performance,performance,P003,14.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999908107383002,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999943693065625,combined_high_repeat_1,5.0,Effort,effort,P003,19.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999974398064778,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9999943693065625,combined_high_repeat_1,3.0,Frustration,frustration,P003,15.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999954929712874,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9972509686775082,combined_high_repeat_2,4.0,Mental Demand,mentaldemand,P003,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999869000772557,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9972509686775082,combined_high_repeat_2,4.0,Physical Demand,physicaldemand,P003,16.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999954929712874,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9972509686775082,combined_high_repeat_2,3.0,Temporal Demand,temporal,P003,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.999995528135227,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9972509686775082,combined_high_repeat_2,3.0,Performance,performance,P003,6.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999954929712874,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9972509686775082,combined_high_repeat_2,5.0,Effort,effort,P003,15.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999936250372925,Y1,decision_time_change=same; interaction_exploration_change=same; response_speed_change=same; body_movement_change=same; accuracy_change=same,0.9972509686775082,combined_high_repeat_2,5.0,Frustration,frustration,P003,9.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999985982834515,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Mental Demand,mentaldemand,P515,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999881910681556,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Physical Demand,physicaldemand,P515,1.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999989093546754,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,1.0,Temporal Demand,temporal,P515,1.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999850459181736,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Performance,performance,P515,17.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999894276015913,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Effort,effort,P515,16.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999984378925484,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Frustration,frustration,P515,3.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999929281013997,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Mental Demand,mentaldemand,P515,16.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999984378925484,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,3.0,Physical Demand,physicaldemand,P515,11.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999985982834515,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Temporal Demand,temporal,P515,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999971820733553,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Performance,performance,P515,16.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999791394237316,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Effort,effort,P515,16.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999989093546754,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Frustration,frustration,P515,1.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999667139755126,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,4.0,Mental Demand,mentaldemand,P516,20.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999958345186365,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Physical Demand,physicaldemand,P516,6.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999990168383951,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Temporal Demand,temporal,P516,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999936250372925,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Performance,performance,P516,6.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999950392524231,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,5.0,Effort,effort,P516,9.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999989093546754,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_1,2.0,Frustration,frustration,P516,1.0
X1,answer_speed_state=typical; answer_path_state=direct; answer_decision_state=fast; answer_reverse_state=few; answer_pause_state=typical; confidence_decision_state=fast,0.9999908107383002,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Mental Demand,mentaldemand,P516,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999929281013997,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Physical Demand,physicaldemand,P516,12.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999929281013997,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Temporal Demand,temporal,P516,16.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999929281013997,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,5.0,Performance,performance,P516,19.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999950392524231,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Effort,effort,P516,21.0
X2,answer_speed_state=typical; answer_path_state=extended; answer_decision_state=slow; answer_reverse_state=many; answer_pause_state=low; confidence_decision_state=fast,0.9999338008793826,Y2,decision_time_change=higher; interaction_exploration_change=higher; response_speed_change=lower; body_movement_change=higher; accuracy_change=lower,0.999999132778521,combined_high_repeat_2,4.0,Frustration,frustration,P516,1.0
